id,name,original_name,first_air_date,last_air_date,number_of_seasons,number_of_episodes,status,in_production,genres,networks,origin_country,languages,vote_average,vote_count,popularity
125935,Abbott Elementary,Abbott Elementary,2021-12-07,2025-04-16,5,72,Returning Series,True,Comedy,ABC,US,en,7.46,223,9.7172
157239,Alien: Earth,Alien: Earth,2025-08-12,2025-09-02,1,8,Returning Series,True,Sci-Fi & Fantasy|Drama,FX|Hulu,US,en,7.713,315,318.0724
94038,Canada's Drag Race,Canada's Drag Race,2020-07-02,2025-01-16,5,47,Returning Series,True,Reality,Crave,CA,en,6.7,26,3.4671
203734,Canada's Drag Race: Canada vs The World,Canada's Drag Race: Canada vs The World,2022-11-18,2024-08-23,2,12,Returning Series,True,Reality,Crave,CA,en,4.7,10,0.7566
1419,Castle,Castle,2009-03-09,2016-05-16,8,173,Canceled,False,Drama|Crime,ABC,US,en,7.986,1974,48.0963
4057,Criminal Minds,Criminal Minds,2005-09-22,2025-07-10,18,354,Returning Series,True,Crime|Drama|Mystery,CBS|Paramount+,US,en,8.3,3914,99.4489
1431,CSI: Crime Scene Investigation,CSI: Crime Scene Investigation,2000-10-06,2015-02-15,15,335,Ended,False,Crime|Drama|Mystery,CBS,US,en,7.6,1306,66.0029
1405,Dexter,Dexter,2006-10-01,2013-09-22,8,96,Ended,False,Crime|Drama|Mystery,Showtime,US,en,8.213,4859,198.3205
131927,Dexter: New Blood,Dexter: New Blood,2021-11-07,2022-01-09,1,10,Ended,False,Drama|Crime,Showtime,US,en,7.959,1362,21.6414
219937,Dexter: Original Sin,Dexter: Original Sin,2024-12-15,2025-02-16,1,10,Canceled,False,Crime|Drama,Paramount+ with Showtime,US,en,8.244,281,14.5468
259909,Dexter: Resurrection,Dexter: Resurrection,2025-07-13,2025-08-31,1,10,Returning Series,True,Crime|Drama|Mystery,Paramount+ with Showtime,US,en,8.919,179,85.4707
57243,Doctor Who,Doctor Who,2005-03-26,2021-12-05,13,153,Ended,False,Action & Adventure|Drama|Sci-Fi & Fantasy,BBC One,GB,en,7.562,3194,40.4244
80748,FBI,FBI,2018-09-25,2025-05-20,8,137,Returning Series,True,Crime|Action & Adventure|Drama,CBS,US,en,7.9,852,33.9681
121658,FBI: International,FBI: International,2021-09-21,2025-05-20,4,78,Canceled,False,Crime|Drama,CBS,US,en,7.7,215,12.572
94372,FBI: Most Wanted,FBI: Most Wanted,2020-01-07,2025-05-20,6,108,Canceled,False,Crime|Drama,CBS,US,en,7.7,414,18.214
124364,FROM,FROM,2022-02-20,2024-11-24,4,30,Returning Series,True,Mystery|Drama|Sci-Fi & Fantasy,Epix|MGM+,US,en,8.187,2090,68.9832
1399,Game of Thrones,Game of Thrones,2011-04-17,2019-05-19,8,73,Ended,False,Sci-Fi & Fantasy|Drama|Action & Adventure,HBO,US,en,8.457,25466,149.347
39416,Geordie Shore,Geordie Shore,2011-05-24,2025-03-04,25,232,Returning Series,True,Reality|Drama,MTV,GB,en,6.1,47,3.9712
253896,Happy's Place,Happy's Place,2024-10-18,2025-03-21,2,20,Returning Series,True,Comedy,NBC,US,en,5.8,12,1.4304
124834,Heartstopper,Heartstopper,2022-04-22,2024-10-03,3,24,Canceled,False,Drama,Netflix,GB,en,8.6,1587,8.0722
226637,High Potential,High Potential,2024-09-17,2025-02-11,2,17,Returning Series,True,Drama|Crime|Mystery,ABC,US,en,8.02,298,29.4567
549,Law & Order,Law & Order,1990-09-13,2025-05-15,25,524,Returning Series,True,Crime|Drama,NBC,US,en,7.406,629,157.1176
90,Mayday,Mayday,2003-09-03,2025-05-26,25,230,Returning Series,True,Documentary|Drama|Crime,5|Discovery|Sky History|National Geographic Channel|National Geographic,CA,en|fr|de|ja|ru|es,8.2,266,28.0688
249023,North of North,North of North,2025-01-07,2025-02-18,2,8,Returning Series,True,Comedy,CBC Television|Aboriginal Peoples Television Network,CA,en|iu,6.793,29,2.7349
246381,Prime Target,Prime Target,2025-01-22,2025-03-05,1,8,Returning Series,True,Drama|Action & Adventure,Apple TV+,GB,en,6.837,101,10.3813
8514,RuPaul's Drag Race,RuPaul's Drag Race,2009-02-02,2025-04-18,18,239,Returning Series,True,Reality,MTV|Logo|VH1,US,en,7.5,256,31.6065
67482,RuPaul's Drag Race All Stars,RuPaul's Drag Race All Stars,2012-10-22,2025-07-18,10,101,Returning Series,True,Reality,Logo|VH1|Paramount+,US,en,7.3,117,7.1226
67564,RuPaul's Drag Race All Stars: UNTUCKED,RuPaul's Drag Race All Stars: UNTUCKED,2012-10-23,2025-07-04,7,74,Returning Series,True,Reality,Logo|VH1|Paramount+,US,en,5.7,23,2.2582
122692,RuPaul's Drag Race Down Under,RuPaul's Drag Race Down Under,2021-05-01,2024-12-20,4,32,Returning Series,True,Reality,Stan|TVNZ+,AU|NZ,en,5.2,25,2.1779
232821,RuPaul's Drag Race Global All Stars,RuPaul's Drag Race Global All Stars,2024-08-16,2024-10-25,2,12,Returning Series,True,Reality,Paramount+,US,en,5.5,5,1.7053
251306,RuPaul's Drag Race Live Untucked,RuPaul's Drag Race Live Untucked,2024-04-17,2025-05-21,2,12,Returning Series,True,Reality,WOW Presents Plus,US,en,0.0,0,0.8259
92611,RuPaul's Drag Race UK,RuPaul's Drag Race UK,2019-10-03,2024-11-28,7,59,Returning Series,True,Reality,BBC Three,GB,en,7.2,55,6.9383
155431,RuPaul's Drag Race UK vs The World,RuPaul's Drag Race UK vs The World,2022-02-01,2024-03-29,3,14,Returning Series,True,Reality,BBC Three,GB,en,6.1,17,0.9488
38409,RuPaul's Drag Race: Untucked,RuPaul's Drag Race: Untucked,2010-02-01,2025-04-04,16,196,Returning Series,True,Reality,MTV|Logo|VH1|YouTube,US,en,6.2,48,8.3296
95396,Severance,Severance,2022-02-17,2025-03-20,3,19,Returning Series,True,Drama|Mystery|Sci-Fi & Fantasy,Apple TV+,US,en,8.4,2146,36.5952
260471,Shifting Gears,Shifting Gears,2025-01-08,2025-03-19,2,13,Returning Series,True,Comedy,ABC,US,en,6.1,45,4.7221
251941,St. Denis Medical,St. Denis Medical,2024-11-12,2025-04-29,2,20,Returning Series,True,Comedy,NBC,US,en,6.9,29,2.9847
66732,Stranger Things,Stranger Things,2016-07-15,2022-07-01,5,42,Returning Series,True,Drama|Sci-Fi & Fantasy|Mystery,Netflix,US,en,8.596,18672,70.7513
28172,The Boys,The Boys,1993-08-20,1993-09-17,1,7,Ended,False,Comedy,CBS,US,en,0.0,0,0.7238
