row_type,show_id,show_name,season_number,episode_number,id,title,name,air_date,runtime,status,genres,vote_average,vote_count,popularity
movie,,,,,83533,Avatar: Fire and Ash,,2025-12-17,192,Post Production,Science Fiction|Adventure|Fantasy,0.0,0,14.8519
movie,,,,,1125257,Freakier Friday,,2025-08-06,111,Released,Comedy|Fantasy|Family,6.9,152,135.0137
movie,,,,,1159559,Scream 7,,2026-02-25,0,Post Production,Horror|Mystery,0.0,0,2.8161
movie,,,,,1078605,Weapons,,2025-08-04,129,Released,Horror|Mystery,7.467,738,233.6251
show,125935,Abbott Elementary,,,125935,,Abbott Elementary,2021-12-07,,Returning Series,Comedy,7.46,223,9.7172
season,125935,Abbott Elementary,1,,125935_S1,,Season 1,2021-12-07,,,,,,
season,125935,Abbott Elementary,2,,125935_S2,,Season 2,2022-09-21,,,,,,
season,125935,Abbott Elementary,3,,125935_S3,,Season 3,2024-02-07,,,,,,
season,125935,Abbott Elementary,4,,125935_S4,,Season 4,2024-10-09,,,,,,
season,125935,Abbott Elementary,5,,125935_S5,,Season 5,2025-10-01,,,,,,
episode,125935,Abbott Elementary,5,1,6388496,,Episode 1,2025-10-01,,,,0.0,0,
episode,125935,Abbott Elementary,5,2,6388538,,Episode 2,2025-10-08,,,,0.0,0,
show,157239,Alien: Earth,,,157239,,Alien: Earth,2025-08-12,,Returning Series,Sci-Fi & Fantasy|Drama,7.713,315,318.0724
season,157239,Alien: Earth,1,,157239_S1,,Season 1,2025-08-12,,,,,,
episode,157239,Alien: Earth,1,1,5324625,,Neverland,2025-08-12,65,,,7.7,55,
episode,157239,Alien: Earth,1,2,6231083,,Mr. October,2025-08-12,56,,,7.9,45,
episode,157239,Alien: Earth,1,3,6231084,,Metamorphosis,2025-08-19,55,,,7.6,28,
episode,157239,Alien: Earth,1,4,6231085,,Observation,2025-08-26,60,,,7.1,20,
episode,157239,Alien: Earth,1,5,6231086,,"In Space, No One...",2025-09-02,66,,,7.455,11,
episode,157239,Alien: Earth,1,6,6231388,,The Fly,2025-09-09,,,,0.0,0,
episode,157239,Alien: Earth,1,7,6231389,,Emergence,2025-09-16,,,,0.0,0,
episode,157239,Alien: Earth,1,8,6231390,,The Real Monsters,2025-09-23,,,,0.0,0,
show,94038,Canada's Drag Race,,,94038,,Canada's Drag Race,2020-07-02,,Returning Series,Reality,6.7,26,3.1555
season,94038,Canada's Drag Race,0,,94038_S0,,Specials,2020-05-14,,,,,,
season,94038,Canada's Drag Race,1,,94038_S1,,Season 1,2020-07-01,,,,,,
season,94038,Canada's Drag Race,2,,94038_S2,,Season 2,2021-10-14,,,,,,
season,94038,Canada's Drag Race,3,,94038_S3,,Season 3,2022-07-14,,,,,,
season,94038,Canada's Drag Race,4,,94038_S4,,Season 4,2023-11-16,,,,,,
season,94038,Canada's Drag Race,5,,94038_S5,,Season 5,2024-11-21,,,,,,
episode,94038,Canada's Drag Race,5,1,5696909,,Go Off Queen,2024-11-21,60,,,7.0,1,
episode,94038,Canada's Drag Race,5,2,5696910,,Greetings Queenlings,2024-11-28,60,,,6.0,1,
episode,94038,Canada's Drag Race,5,3,5696911,,The Slayoffs: Teams Edition,2024-12-05,60,,,8.0,1,
episode,94038,Canada's Drag Race,5,4,5696912,,Fast Fashion,2024-12-12,61,,,7.0,1,
episode,94038,Canada's Drag Race,5,5,5696913,,The One Where They Went ‘90s,2024-12-19,60,,,8.0,1,
episode,94038,Canada's Drag Race,5,6,5696914,,Surviving Snatch Game,2024-12-26,60,,,6.0,1,
episode,94038,Canada's Drag Race,5,7,5696915,,The Devil Wore Custom,2025-01-02,60,,,7.0,1,
episode,94038,Canada's Drag Race,5,8,5696916,,What Just Happened?!,2025-01-09,60,,,6.0,1,
episode,94038,Canada's Drag Race,5,9,5696917,,Grand Finale,2025-01-16,60,,,8.0,1,
show,203734,Canada's Drag Race: Canada vs The World,,,203734,,Canada's Drag Race: Canada vs The World,2022-11-18,,Returning Series,Reality,4.7,10,0.7566
season,203734,Canada's Drag Race: Canada vs The World,0,,203734_S0,,Specials,2022-10-17,,,,,,
season,203734,Canada's Drag Race: Canada vs The World,1,,203734_S1,,Season 1,2022-11-18,,,,,,
season,203734,Canada's Drag Race: Canada vs The World,2,,203734_S2,,Season 2,2024-07-19,,,,,,
episode,203734,Canada's Drag Race: Canada vs The World,2,1,5438254,,Drag Pop,2024-07-19,70,,,7.0,2,
episode,203734,Canada's Drag Race: Canada vs The World,2,2,5473651,,The Hole,2024-07-26,59,,,7.0,2,
episode,203734,Canada's Drag Race: Canada vs The World,2,3,5473652,,Glamorous Drag Queen Ball Challenge,2024-08-02,59,,,6.5,2,
episode,203734,Canada's Drag Race: Canada vs The World,2,4,5473653,,Reading Battles,2024-08-09,59,,,8.0,2,
episode,203734,Canada's Drag Race: Canada vs The World,2,5,5473654,,Snatch Game: The Rusical,2024-08-16,60,,,6.5,2,
episode,203734,Canada's Drag Race: Canada vs The World,2,6,5473656,,Grand Finale,2024-08-23,59,,,8.0,2,
show,1419,Castle,,,1419,,Castle,2009-03-09,,Canceled,Drama|Crime,7.986,1974,48.0963
season,1419,Castle,1,,1419_S1,,Season 1,2009-03-09,,,,,,
season,1419,Castle,2,,1419_S2,,Season 2,2009-09-21,,,,,,
season,1419,Castle,3,,1419_S3,,Season 3,2010-09-20,,,,,,
season,1419,Castle,4,,1419_S4,,Season 4,2011-09-19,,,,,,
season,1419,Castle,5,,1419_S5,,Season 5,2012-09-24,,,,,,
season,1419,Castle,6,,1419_S6,,Season 6,2013-09-23,,,,,,
season,1419,Castle,7,,1419_S7,,Season 7,2014-09-29,,,,,,
season,1419,Castle,8,,1419_S8,,Season 8,2015-09-21,,,,,,
episode,1419,Castle,8,1,1089781,,XY (1),2015-09-21,44,,,7.6,14,
episode,1419,Castle,8,2,1099823,,XX (2),2015-09-28,44,,,6.9,13,
episode,1419,Castle,8,3,1099825,,PhDead,2015-10-05,44,,,6.8,14,
episode,1419,Castle,8,4,1099824,,What Lies Beneath,2015-10-12,44,,,7.2,12,
episode,1419,Castle,8,5,1108117,,The Nose,2015-10-19,44,,,7.7,14,
episode,1419,Castle,8,6,1132274,,Cool Boys,2015-11-09,44,,,7.6,12,
episode,1419,Castle,8,7,1108118,,The Last Seduction,2015-11-16,44,,,7.5,12,
episode,1419,Castle,8,8,1116407,,Mr. & Mrs. Castle,2015-11-23,43,,,6.8,12,
episode,1419,Castle,8,9,1139468,,Tone Death,2016-02-08,44,,,7.2,13,
episode,1419,Castle,8,10,1160193,,Witness for the Prosecution,2016-02-14,44,,,6.7,14,
episode,1419,Castle,8,11,1160194,,Dead Red,2016-02-15,44,,,7.1,14,
episode,1419,Castle,8,12,1165699,,The Blame Game,2016-02-22,44,,,7.3,13,
episode,1419,Castle,8,13,1165700,,And Justice for All,2016-02-29,44,,,7.3,13,
episode,1419,Castle,8,14,1165954,,The G.D.S.,2016-03-07,44,,,6.9,15,
episode,1419,Castle,8,15,1165957,,Fidelis Ad Mortem,2016-03-21,44,,,7.5,13,
episode,1419,Castle,8,16,1165955,,Heartbreaker,2016-04-04,44,,,7.4,13,
episode,1419,Castle,8,17,1165956,,Death Wish,2016-04-11,43,,,7.2,13,
episode,1419,Castle,8,18,1172660,,Backstabber,2016-04-18,44,,,7.4,12,
episode,1419,Castle,8,19,1177125,,Dead Again,2016-04-25,44,,,7.6,14,
episode,1419,Castle,8,20,1189483,,Much Ado About Murder,2016-05-02,44,,,7.1,14,
episode,1419,Castle,8,21,1189484,,Hell to Pay,2016-05-09,44,,,7.5,18,
episode,1419,Castle,8,22,1191118,,Crossfire,2016-05-16,44,,,6.8,12,
show,4057,Criminal Minds,,,4057,,Criminal Minds,2005-09-22,,Returning Series,Crime|Drama|Mystery,8.3,3914,99.4489
season,4057,Criminal Minds,1,,4057_S1,,Season 1,2005-09-22,,,,,,
season,4057,Criminal Minds,2,,4057_S2,,Season 2,2006-09-20,,,,,,
season,4057,Criminal Minds,3,,4057_S3,,Season 3,2007-09-26,,,,,,
season,4057,Criminal Minds,4,,4057_S4,,Season 4,2008-09-24,,,,,,
season,4057,Criminal Minds,5,,4057_S5,,Season 5,2009-09-23,,,,,,
season,4057,Criminal Minds,6,,4057_S6,,Season 6,2010-09-22,,,,,,
season,4057,Criminal Minds,7,,4057_S7,,Season 7,2011-09-21,,,,,,
season,4057,Criminal Minds,8,,4057_S8,,Season 8,2012-09-26,,,,,,
season,4057,Criminal Minds,9,,4057_S9,,Season 9,2013-09-25,,,,,,
season,4057,Criminal Minds,10,,4057_S10,,Season 10,2014-10-01,,,,,,
season,4057,Criminal Minds,11,,4057_S11,,Season 11,2015-09-30,,,,,,
season,4057,Criminal Minds,12,,4057_S12,,Season 12,2016-09-28,,,,,,
season,4057,Criminal Minds,13,,4057_S13,,Season 13,2017-09-27,,,,,,
season,4057,Criminal Minds,14,,4057_S14,,Season 14,2018-10-03,,,,,,
season,4057,Criminal Minds,15,,4057_S15,,Season 15,2020-01-08,,,,,,
season,4057,Criminal Minds,16,,4057_S16,,Season 16: Evolution,2022-11-24,,,,,,
season,4057,Criminal Minds,17,,4057_S17,,Season 17: Evolution Season 2,2024-06-06,,,,,,
season,4057,Criminal Minds,18,,4057_S18,,Season 18: Evolution Season 3,2025-05-08,,,,,,
episode,4057,Criminal Minds,18,1,5671531,,Swimmer's Calculus,2025-05-08,48,,,8.6,5,
episode,4057,Criminal Minds,18,2,6047488,,The Zookeeper,2025-05-15,58,,,8.0,2,
episode,4057,Criminal Minds,18,3,6047489,,Time to Say Goodbye,2025-05-22,58,,,7.0,1,
