show_id,show_name,season_number,name,air_date,episode_count
125935,Abbott Elementary,1,Season 1,2021-12-07,13
125935,Abbott Elementary,2,Season 2,2022-09-21,22
125935,Abbott Elementary,3,Season 3,2024-02-07,13
125935,Abbott Elementary,4,Season 4,2024-10-09,22
125935,Abbott Elementary,5,Season 5,2025-10-01,2
157239,Alien: Earth,1,Season 1,2025-08-12,8
94038,Canada's Drag Race,0,Specials,2020-05-14,6
94038,Canada's Drag Race,1,Season 1,2020-07-01,10
94038,Canada's Drag Race,2,Season 2,2021-10-14,10
94038,Canada's Drag Race,3,Season 3,2022-07-14,9
94038,Canada's Drag Race,4,Season 4,2023-11-16,9
94038,Canada's Drag Race,5,Season 5,2024-11-21,9
203734,Canada's Drag Race: Canada vs The World,0,Specials,2022-10-17,2
203734,Canada's Drag Race: Canada vs The World,1,Season 1,2022-11-18,6
203734,Canada's Drag Race: Canada vs The World,2,Season 2,2024-07-19,6
1419,Castle,1,Season 1,2009-03-09,10
1419,Castle,2,Season 2,2009-09-21,24
1419,Castle,3,Season 3,2010-09-20,24
1419,Castle,4,Season 4,2011-09-19,23
1419,Castle,5,Season 5,2012-09-24,24
1419,Castle,6,Season 6,2013-09-23,23
1419,Castle,7,Season 7,2014-09-29,23
1419,Castle,8,Season 8,2015-09-21,22
4057,Criminal Minds,1,Season 1,2005-09-22,22
4057,Criminal Minds,2,Season 2,2006-09-20,23
4057,Criminal Minds,3,Season 3,2007-09-26,20
4057,Criminal Minds,4,Season 4,2008-09-24,26
4057,Criminal Minds,5,Season 5,2009-09-23,23
4057,Criminal Minds,6,Season 6,2010-09-22,24
4057,Criminal Minds,7,Season 7,2011-09-21,24
4057,Criminal Minds,8,Season 8,2012-09-26,24
4057,Criminal Minds,9,Season 9,2013-09-25,24
4057,Criminal Minds,10,Season 10,2014-10-01,23
4057,Criminal Minds,11,Season 11,2015-09-30,22
4057,Criminal Minds,12,Season 12,2016-09-28,22
4057,Criminal Minds,13,Season 13,2017-09-27,22
4057,Criminal Minds,14,Season 14,2018-10-03,15
4057,Criminal Minds,15,Season 15,2020-01-08,10
4057,Criminal Minds,16,Season 16: Evolution,2022-11-24,10
4057,Criminal Minds,17,Season 17: Evolution Season 2,2024-06-06,10
4057,Criminal Minds,18,Season 18: Evolution Season 3,2025-05-08,10
1431,CSI: Crime Scene Investigation,0,Specials,2015-09-27,1
1431,CSI: Crime Scene Investigation,1,Season 1,2000-10-06,23
1431,CSI: Crime Scene Investigation,2,Season 2,2001-09-27,23
1431,CSI: Crime Scene Investigation,3,Season 3,2002-09-25,23
1431,CSI: Crime Scene Investigation,4,Season 4,2003-09-24,23
1431,CSI: Crime Scene Investigation,5,Season 5,2004-09-23,25
1431,CSI: Crime Scene Investigation,6,Season 6,2005-09-22,24
1431,CSI: Crime Scene Investigation,7,Season 7,2006-09-21,24
1431,CSI: Crime Scene Investigation,8,Season 8,2007-09-27,17
1431,CSI: Crime Scene Investigation,9,Season 9,2008-10-09,24
1431,CSI: Crime Scene Investigation,10,Season 10,2009-09-24,23
1431,CSI: Crime Scene Investigation,11,Season 11,2010-09-23,22
1431,CSI: Crime Scene Investigation,12,Season 12,2011-09-21,22
1431,CSI: Crime Scene Investigation,13,Season 13,2012-09-26,22
1431,CSI: Crime Scene Investigation,14,Season 14,2013-09-25,22
1431,CSI: Crime Scene Investigation,15,Season 15,2014-09-28,18
1405,Dexter,0,Specials,2009-10-25,42
1405,Dexter,1,Season 1,2006-10-01,12
1405,Dexter,2,Season 2,2007-09-30,12
1405,Dexter,3,Season 3,2008-09-28,12
1405,Dexter,4,Season 4,2009-09-27,12
1405,Dexter,5,Season 5,2010-09-26,12
1405,Dexter,6,Season 6,2011-10-02,12
1405,Dexter,7,Season 7,2012-09-30,12
1405,Dexter,8,Season 8,2013-06-30,12
131927,Dexter: New Blood,1,Season 1,2021-11-07,10
219937,Dexter: Original Sin,1,Season 1,2024-12-14,10
259909,Dexter: Resurrection,1,Season 1,2025-07-13,10
57243,Doctor Who,0,Specials,2005-11-18,199
57243,Doctor Who,1,Series 1,2005-03-26,13
57243,Doctor Who,2,Series 2,2006-04-15,13
57243,Doctor Who,3,Series 3,2007-04-01,13
57243,Doctor Who,4,Series 4,2008-04-05,13
57243,Doctor Who,5,Series 5,2010-04-03,13
57243,Doctor Who,6,Series 6,2011-04-23,13
57243,Doctor Who,7,Series 7,2012-09-01,13
57243,Doctor Who,8,Series 8,2014-08-23,12
57243,Doctor Who,9,Series 9,2015-09-19,12
57243,Doctor Who,10,Series 10,2017-04-15,12
57243,Doctor Who,11,Series 11,2018-10-07,10
57243,Doctor Who,12,Series 12,2020-01-01,10
57243,Doctor Who,13,Flux,2021-10-31,6
80748,FBI,1,Season 1,2018-09-24,22
80748,FBI,2,Season 2,2019-09-23,19
80748,FBI,3,Season 3,2020-11-16,15
80748,FBI,4,Season 4,2021-09-20,21
80748,FBI,5,Season 5,2022-09-20,23
80748,FBI,6,Season 6,2024-02-13,13
80748,FBI,7,Season 7,2024-10-15,22
80748,FBI,8,Season 8,2025-10-13,2
121658,FBI: International,1,Season 1,2021-09-20,21
