id,name,original_name,first_air_date,last_air_date,number_of_seasons,number_of_episodes,status,in_production,genres,networks,origin_country,languages,vote_average,vote_count,popularity,homepage,poster_url,backdrop_url,providers_flatrate_CA,providers_rent_CA,providers_buy_CA,providers_ads_CA,providers_link_CA
125935,Abbott Elementary,Abbott Elementary,2021-12-07,2025-04-16,5,72,Returning Series,True,Comedy,ABC,US,en,7.46,223,9.7172,https://abc.com/shows/abbott-elementary,https://image.tmdb.org/t/p/w500/7bZwZ1of6HCUarYoJDIivzk9h2G.jpg,https://image.tmdb.org/t/p/w780/fUOau1xdpQdJmVWs32IDZlKYYvr.jpg,Disney Plus,,Apple TV,,https://www.themoviedb.org/tv/125935-abbott-elementary/watch?locale=CA
157239,Alien: Earth,Alien: Earth,2025-08-12,2025-09-02,1,8,Returning Series,True,Sci-Fi & Fantasy|Drama,FX|Hulu,US,en,7.7,317,302.4176,https://www.fxnetworks.com/shows/alien-earth,https://image.tmdb.org/t/p/w500/yueXS3q8BtoWekcHOATFHicLl3e.jpg,https://image.tmdb.org/t/p/w780/25g7mthXoJFcNZhAKz0evk17Bsx.jpg,Disney Plus|Citytvplus Amazon Channel|Citytvplus,,,,https://www.themoviedb.org/tv/157239-alien-earth/watch?locale=CA
94038,Canada's Drag Race,Canada's Drag Race,2020-07-02,2025-01-16,5,47,Returning Series,True,Reality,Crave,CA,en,6.7,26,3.1555,https://www.crave.ca/en/tv-shows/canadas-drag-race,https://image.tmdb.org/t/p/w500/r8G6fGecnYoW5ARqwl3a8hr8djl.jpg,https://image.tmdb.org/t/p/w780/1vmRCkeLKlQee4CXeyah9qcN3pE.jpg,Crave|WOW Presents Plus|OUTtv Amazon Channel|OUTtv Apple TV Channel,,Apple TV,,https://www.themoviedb.org/tv/94038-canada-s-drag-race/watch?locale=CA
203734,Canada's Drag Race: Canada vs The World,Canada's Drag Race: Canada vs The World,2022-11-18,2024-08-23,2,12,Returning Series,True,Reality,Crave,CA,en,4.7,10,0.838,,https://image.tmdb.org/t/p/w500/amJ1PVPOAoke0B6xo3YyephlFh3.jpg,https://image.tmdb.org/t/p/w780/tQKdXH7y2XyN9xAIWi8DyFnhfnf.jpg,Crave,,Apple TV,,https://www.themoviedb.org/tv/203734-canada-s-drag-race-canada-vs-the-world/watch?locale=CA
1419,Castle,Castle,2009-03-09,2016-05-16,8,173,Canceled,False,Drama|Crime,ABC,US,en,7.986,1974,48.0963,,https://image.tmdb.org/t/p/w500/diXBeMzvfJb2iJg3G0kCUaMCzEc.jpg,https://image.tmdb.org/t/p/w780/xEtiiv2uhGr9IPgeruuECIfyfin.jpg,Disney Plus|Crave,,Apple TV,,https://www.themoviedb.org/tv/1419-castle/watch?locale=CA
4057,Criminal Minds,Criminal Minds,2005-09-22,2025-07-10,18,354,Returning Series,True,Crime|Drama|Mystery,CBS|Paramount+,US,en,8.3,3914,93.4784,https://www.paramountplus.com/shows/criminal_minds,https://image.tmdb.org/t/p/w500/k6LX0rJOYeF4fNzfVlCGxWPTmE5.jpg,https://image.tmdb.org/t/p/w780/w88B4ooZ2LSYPw5107JOkjvI8PI.jpg,Disney Plus|Paramount Plus|Paramount+ Amazon Channel|Paramount Plus Apple TV Channel |Paramount Plus Premium|Paramount Plus Basic with Ads,,Apple TV,CTV,https://www.themoviedb.org/tv/4057-criminal-minds/watch?locale=CA
1431,CSI: Crime Scene Investigation,CSI: Crime Scene Investigation,2000-10-06,2015-02-15,15,335,Ended,False,Crime|Drama|Mystery,CBS,US,en,7.6,1306,61.9517,http://www.cbs.com/shows/csi/,https://image.tmdb.org/t/p/w500/i5hmoRjHNWady4AtAGICTUXknKH.jpg,https://image.tmdb.org/t/p/w780/cvlLBcQWpO9X21jDHhgPJnE2aVq.jpg,Paramount Plus|Paramount+ Amazon Channel|Paramount Plus Apple TV Channel |Paramount Plus Premium|Paramount Plus Basic with Ads,,Apple TV,Pluto TV,https://www.themoviedb.org/tv/1431-csi-crime-scene-investigation/watch?locale=CA
1405,Dexter,Dexter,2006-10-01,2013-09-22,8,96,Ended,False,Crime|Drama|Mystery,Showtime,US,en,8.213,4860,198.3205,https://www.paramountplus.com/shows/dexter,https://image.tmdb.org/t/p/w500/q8dWfc4JwQuv3HayIZeO84jAXED.jpg,https://image.tmdb.org/t/p/w780/aSGSxGMTP893DPMCvMl9AdnEICE.jpg,Netflix|Paramount Plus|Netflix Standard with Ads|Paramount Plus Apple TV Channel |Paramount Plus Premium|Paramount Plus Basic with Ads,,Apple TV,,https://www.themoviedb.org/tv/1405-dexter/watch?locale=CA
131927,Dexter: New Blood,Dexter: New Blood,2021-11-07,2022-01-09,1,10,Ended,False,Drama|Crime,Showtime,US,en,7.959,1362,21.6414,https://www.paramountplus.com/shows/dexter-new-blood,https://image.tmdb.org/t/p/w500/9EBKgrFIsCFSV1RZKWhYUdbtGiv.jpg,https://image.tmdb.org/t/p/w780/e6v08948EZVvLrx0sWpmglguY9e.jpg,Paramount Plus|Paramount+ Amazon Channel|Paramount Plus Apple TV Channel |Paramount Plus Premium|Paramount Plus Basic with Ads,,Apple TV|Amazon Video,,https://www.themoviedb.org/tv/131927-dexter-new-blood/watch?locale=CA
219937,Dexter: Original Sin,Dexter: Original Sin,2024-12-15,2025-02-16,1,10,Canceled,False,Crime|Drama,Paramount+ with Showtime,US,en,8.2,280,13.4251,https://www.paramountplus.com/shows/dexter-original-sin,https://image.tmdb.org/t/p/w500/j5bP7spdfS0NpDLKDlqJYyJPi1j.jpg,https://image.tmdb.org/t/p/w780/jmcRdwSOb1Bo1snMtxTSWOqbvgR.jpg,Paramount Plus|Paramount+ Amazon Channel|Paramount Plus Apple TV Channel |Paramount Plus Premium|Paramount Plus Basic with Ads,,Apple TV|Amazon Video,,https://www.themoviedb.org/tv/219937-dexter-original-sin/watch?locale=CA
259909,Dexter: Resurrection,Dexter: Resurrection,2025-07-13,2025-08-31,1,10,Returning Series,True,Crime|Drama|Mystery,Paramount+ with Showtime,US,en,8.919,179,80.1526,https://www.paramountplus.com/shows/dexter-resurrection/,https://image.tmdb.org/t/p/w500/hIawSocuwqgNeRf3JuKuxgMHmSC.jpg,https://image.tmdb.org/t/p/w780/8J0SjKToFBbg8dKpocVOCsrC77C.jpg,Paramount Plus|Paramount+ Amazon Channel|Paramount Plus Apple TV Channel |Paramount Plus Premium|Paramount Plus Basic with Ads,,,,https://www.themoviedb.org/tv/259909-dexter-resurrection/watch?locale=CA
57243,Doctor Who,Doctor Who,2005-03-26,2021-12-05,13,153,Ended,False,Action & Adventure|Drama|Sci-Fi & Fantasy,BBC One,GB,en,7.562,3194,36.5813,http://www.bbc.co.uk/programmes/b006q2x0,https://image.tmdb.org/t/p/w500/w8enSKCf6Zm0topeQ2XPccDqsqp.jpg,https://image.tmdb.org/t/p/w780/vcFW09U4834DyFOeRZpsx9x1D3S.jpg,,,Apple TV,Pluto TV,https://www.themoviedb.org/tv/57243-doctor-who/watch?locale=CA
80748,FBI,FBI,2018-09-25,2025-05-20,8,137,Returning Series,True,Crime|Action & Adventure|Drama,CBS,US,en,7.9,852,33.9681,https://www.cbs.com/shows/fbi/,https://image.tmdb.org/t/p/w500/bircXcCsvP2DUximyQUOn5p2s4.jpg,https://image.tmdb.org/t/p/w780/adOjU80AEcr70IPTXe6ALLyXGxF.jpg,Paramount Plus|Paramount+ Amazon Channel|Club Illico|fuboTV|Paramount Plus Apple TV Channel |Paramount Plus Premium|Paramount Plus Basic with Ads,,Apple TV,,https://www.themoviedb.org/tv/80748-fbi/watch?locale=CA
121658,FBI: International,FBI: International,2021-09-21,2025-05-20,4,78,Canceled,False,Crime|Drama,CBS,US,en,7.7,215,12.572,https://www.cbs.com/shows/fbi-international,https://image.tmdb.org/t/p/w500/1Ublm6D8zmqMroqrXkn3Fgd353q.jpg,https://image.tmdb.org/t/p/w780/8JtKCIBzf3AYbsxBFSL74NoGH2u.jpg,Paramount Plus|Paramount+ Amazon Channel|Club Illico|StackTV Amazon Channel|fuboTV|Paramount Plus Apple TV Channel |Paramount Plus Premium|Paramount Plus Basic with Ads,,Apple TV,,https://www.themoviedb.org/tv/121658-fbi-international/watch?locale=CA
94372,FBI: Most Wanted,FBI: Most Wanted,2020-01-07,2025-05-20,6,108,Canceled,False,Crime|Drama,CBS,US,en,7.7,414,18.355,https://www.cbs.com/shows/fbi-most-wanted/,https://image.tmdb.org/t/p/w500/uwTNBqFrEur3EtK8ofWbtGXMQOP.jpg,https://image.tmdb.org/t/p/w780/4BrWdbv2Cqe0zLqvNzkoednZQAb.jpg,Paramount Plus|Paramount+ Amazon Channel|Club Illico|fuboTV|Paramount Plus Apple TV Channel |Paramount Plus Premium|Paramount Plus Basic with Ads,,Apple TV,,https://www.themoviedb.org/tv/94372-fbi-most-wanted/watch?locale=CA
124364,FROM,FROM,2022-02-20,2024-11-24,4,30,Returning Series,True,Mystery|Drama|Sci-Fi & Fantasy,Epix|MGM+,US,en,8.188,2091,64.7672,https://www.mgmplus.com/series/from,https://image.tmdb.org/t/p/w500/cjXLrg4R7FRPFafvuQ3SSznQOd9.jpg,https://image.tmdb.org/t/p/w780/6gN8DYnIEln8v7OhRy61c57w0Xy.jpg,Paramount Plus|Paramount+ Amazon Channel|Club Illico|Paramount Plus Apple TV Channel |Paramount Plus Premium|Paramount Plus Basic with Ads,,Apple TV|Amazon Video,,https://www.themoviedb.org/tv/124364-from/watch?locale=CA
1399,Game of Thrones,Game of Thrones,2011-04-17,2019-05-19,8,73,Ended,False,Sci-Fi & Fantasy|Drama|Action & Adventure,HBO,US,en,8.458,25468,149.347,https://www.hbo.com/game-of-thrones,https://image.tmdb.org/t/p/w500/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,https://image.tmdb.org/t/p/w780/2OMB0ynKlyIenMJWI2Dy9IWT4c.jpg,Crave,,Apple TV|Amazon Video,,https://www.themoviedb.org/tv/1399-game-of-thrones/watch?locale=CA
