row_type,show_id,show_name,season_number,episode_number,id,title,name,air_date,runtime,status,genres,vote_average,vote_count,popularity,homepage,poster_url,backdrop_url,imdb_id,providers_flatrate_CA,providers_rent_CA,providers_buy_CA,providers_ads_CA,providers_link_CA,episode_still_url
movie,,,,,83533,Avatar: Fire and Ash,,2025-12-17,192,Post Production,Science Fiction|Adventure|Fantasy,0.0,0,14.8519,https://www.avatar.com/movies/avatar-fire-and-ash,https://image.tmdb.org/t/p/w500/cf7hE1ifY4UNbS25tGnaTyyDrI2.jpg,https://image.tmdb.org/t/p/w780/pN3eaCl3sqwrerU8UNdp40F2mK0.jpg,tt1757678,,,,,,
movie,,,,,1125257,Freakier Friday,,2025-08-06,111,Released,Comedy|Fantasy|Family,6.9,153,135.0137,https://movies.disney.com/freakier-friday,https://image.tmdb.org/t/p/w500/9wV65OmsjLAqBfDnYTkMPutXH8j.jpg,https://image.tmdb.org/t/p/w780/dcLV5rEXuQRW0ZlB7IMLArHMyWh.jpg,tt31956415,,,,,,
movie,,,,,1159559,Scream 7,,2026-02-25,0,Post Production,Horror|Mystery,0.0,0,2.9744,,https://image.tmdb.org/t/p/w500/jcejzY3BakzUVvRX3I4bsDQPlTd.jpg,,tt27047903,,,,,,
movie,,,,,1078605,Weapons,,2025-08-04,129,Released,Horror|Mystery,7.466,743,180.903,https://www.warnerbros.com/movies/weapons,https://image.tmdb.org/t/p/w500/cpf7vsRZ0MYRQcnLWteD5jK9ymT.jpg,https://image.tmdb.org/t/p/w780/Q2OajDi2kcO6yErb1IAyVDTKMs.jpg,tt26581740,,,,,,
show,125935,Abbott Elementary,,,125935,,Abbott Elementary,2021-12-07,,Returning Series,Comedy,7.46,223,9.7172,https://abc.com/shows/abbott-elementary,https://image.tmdb.org/t/p/w500/7bZwZ1of6HCUarYoJDIivzk9h2G.jpg,https://image.tmdb.org/t/p/w780/fUOau1xdpQdJmVWs32IDZlKYYvr.jpg,tt14218830,Disney Plus,,Apple TV,,https://www.themoviedb.org/tv/125935-abbott-elementary/watch?locale=CA,
season,125935,Abbott Elementary,1,,125935_S1,,Season 1,2021-12-07,,,,,,,,https://image.tmdb.org/t/p/w342/AsaunUQLjC4tnRVALu0D4jtzwFy.jpg,,,,,,,,
season,125935,Abbott Elementary,2,,125935_S2,,Season 2,2022-09-21,,,,,,,,https://image.tmdb.org/t/p/w342/nkktkKeIfzuQfuS6f2hXenoTtJz.jpg,,,,,,,,
season,125935,Abbott Elementary,3,,125935_S3,,Season 3,2024-02-07,,,,,,,,https://image.tmdb.org/t/p/w342/11l2yxOAI1XHD9vTq6AAUJ5eW0g.jpg,,,,,,,,
season,125935,Abbott Elementary,4,,125935_S4,,Season 4,2024-10-09,,,,,,,,https://image.tmdb.org/t/p/w342/vYZKmKdxqc1Gj94vLevYAvAcBIB.jpg,,,,,,,,
season,125935,Abbott Elementary,5,,125935_S5,,Season 5,2025-10-01,,,,,,,,,,,,,,,,
episode,125935,Abbott Elementary,5,1,6388496,,Episode 1,2025-10-01,,,,0.0,0,,,,,,,,,,,
episode,125935,Abbott Elementary,5,2,6388538,,Episode 2,2025-10-08,,,,0.0,0,,,,,,,,,,,
show,157239,Alien: Earth,,,157239,,Alien: Earth,2025-08-12,,Returning Series,Sci-Fi & Fantasy|Drama,7.7,317,302.4176,https://www.fxnetworks.com/shows/alien-earth,https://image.tmdb.org/t/p/w500/yueXS3q8BtoWekcHOATFHicLl3e.jpg,https://image.tmdb.org/t/p/w780/25g7mthXoJFcNZhAKz0evk17Bsx.jpg,tt13623632,Disney Plus|Citytvplus Amazon Channel|Citytvplus,,,,https://www.themoviedb.org/tv/157239-alien-earth/watch?locale=CA,
season,157239,Alien: Earth,1,,157239_S1,,Season 1,2025-08-12,,,,,,,,https://image.tmdb.org/t/p/w342/BlztDCnoRQ31dDxsxa9EY2xdz3.jpg,,,,,,,,
